name,season,advancement,rarity,rank,grade,foil
"Argonath Exclusive Card Shard","N/A","N/A","N/A","N/A","N/A","false"
"Arhax","MANTRIS","STANDARD","MYTHIC","1","","false"
"Arhax","MANTRIS","ALTERNATIVE","MYTHIC","5","C","false"
"Arhax","MANTRIS","ALTERNATIVE","MYTHIC","5","C","true"
"Arhax","MANTRIS","ALTERNATIVE","MYTHIC","5","B","false"
"Arhax","MANTRIS","ALTERNATIVE","MYTHIC","5","S","false"
"Arhax","MANTRIS","ALTERNATIVE","MYTHIC","5","B","true"
"Arhax","MANTRIS","ALTERNATIVE","MYTHIC","5","A","true"
"Arhax","MANTRIS","ALTERNATIVE","MYTHIC","5","S","true"
"Arhax","MANTRIS","ALTERNATIVE","MYTHIC","5","A","false"
"Arjjuna","RIFT","STANDARD","SPECIAL_RARE","1","","false"
"Arjjuna","RIFT","STANDARD","SPECIAL_RARE","1","","true"
"Arjjuna","RIFT","ALTERNATIVE","SPECIAL_RARE","5","C","false"
"Arjjuna","RIFT","ALTERNATIVE","SPECIAL_RARE","5","B","false"
"Arjjuna","RIFT","ALTERNATIVE","SPECIAL_RARE","5","A","false"
"Arkhel","ARKHANTE","COMBO","SPECIAL_RARE","5","B","false"
"Arkhel","ARKHANTE","COMBO","SPECIAL_RARE","5","C","false"
"Arkhel","ARKHANTE","COMBO","SPECIAL_RARE","5","A","false"
"Arkhel","ARKHANTE","COMBO","SPECIAL_RARE","5","C","true"
"Arkhel","ARKHANTE","COMBO","SPECIAL_RARE","5","S","false"
"Arkhel","ARKHANTE","COMBO","SPECIAL_RARE","5","B","true"
"Arkhel","ARKHANTE","COMBO","SPECIAL_RARE","5","A","true"
"Ascaross","RIFT","STANDARD","ULTRA_RARE","1","","false"
"Ascaross","RIFT","ALTERNATIVE","ULTRA_RARE","5","C","false"
"Ash","RIFT","ALTERNATIVE","EXCLUSIVE","5","C","false"
"Ash","RIFT","STANDARD","EXCLUSIVE","2","","false"
"Ash","RIFT","STANDARD","EXCLUSIVE","1","","false"
"Ash","RIFT","STANDARD","EXCLUSIVE","5","","false"
"Ash","RIFT","STANDARD","EXCLUSIVE","1","","true"
"Ash","RIFT","STANDARD","EXCLUSIVE","3","","false"
"Ash","RIFT","STANDARD","EXCLUSIVE","4","","false"
"Ash","RIFT","STANDARD","MYTHIC","1","","false"
"Ash","RIFT","ALTERNATIVE","EXCLUSIVE","5","B","false"
"Ash","RIFT","ALTERNATIVE","EXCLUSIVE","5","A","false"
"Ash","RIFT","ALTERNATIVE","MYTHIC","5","C","false"
"Ash","RIFT","ALTERNATIVE","MYTHIC","5","B","false"
"Ash & Palmer","RIFT","COMBO","MYTHIC","5","B","false"
"Ash & Palmer","RIFT","COMBO","MYTHIC","5","A","false"
"Ashance","ARKHANTE","STANDARD","UNCOMMON","5","","false"
"Ashance","ARKHANTE","ALTERNATIVE","UNCOMMON","5","C","false"
"Ashance","ARKHANTE","STANDARD","UNCOMMON","1","","false"
"Ashance","ARKHANTE","STANDARD","UNCOMMON","3","","false"
"Ashance","ARKHANTE","STANDARD","UNCOMMON","5","","true"
"Ashance","ARKHANTE","STANDARD","UNCOMMON","2","","false"
"Ashance","ARKHANTE","STANDARD","UNCOMMON","4","","false"
"Ashance","ARKHANTE","STANDARD","UNCOMMON","2","","true"
"Ashance","ARKHANTE","STANDARD","UNCOMMON","1","","true"
"Ashance","ARKHANTE","ALTERNATIVE","UNCOMMON","5","B","false"
"Ashance","ARKHANTE","ALTERNATIVE","UNCOMMON","5","A","false"
"Ashance","ARKHANTE","ALTERNATIVE","UNCOMMON","5","C","true"
"Ashance","ARKHANTE","ALTERNATIVE","UNCOMMON","5","B","true"
"Ashance","ARKHANTE","ALTERNATIVE","UNCOMMON","5","S","false"
"Astrid","ARKHANTE","STANDARD","UNCOMMON","5","","false"
"Astrid","ARKHANTE","STANDARD","UNCOMMON","5","","true"
"Astrid","ARKHANTE","ALTERNATIVE","UNCOMMON","5","B","false"
"Astrid","ARKHANTE","STANDARD","UNCOMMON","1","","true"
"Astrid","ARKHANTE","ALTERNATIVE","UNCOMMON","5","S","false"
"Astrid","ARKHANTE","STANDARD","EXCLUSIVE","5","","false"
"Astrid","ARKHANTE","STANDARD","UNCOMMON","1","","false"
"Astrid","ARKHANTE","STANDARD","EXCLUSIVE","2","","false"
"Astrid","ARKHANTE","ALTERNATIVE","EXCLUSIVE","5","C","false"
"Astrid","ARKHANTE","STANDARD","EXCLUSIVE","4","","false"
"Astrid","ARKHANTE","STANDARD","EXCLUSIVE","1","","false"
"Astrid","ARKHANTE","ALTERNATIVE","EXCLUSIVE","5","A","false"
"Astrid","ARKHANTE","STANDARD","EXCLUSIVE","3","","false"
"Astrid","ARKHANTE","ALTERNATIVE","UNCOMMON","5","A","false"
"Astrid","ARKHANTE","ALTERNATIVE","EXCLUSIVE","5","B","false"
"Astrid","ARKHANTE","ALTERNATIVE","UNCOMMON","5","C","false"
"Astrid","ARKHANTE","ALTERNATIVE","UNCOMMON","5","C","true"
"Astrogant","ARKHANTE","STANDARD","UNCOMMON","5","","false"
"Astrogant","ARKHANTE","STANDARD","UNCOMMON","5","","true"
"Astrogant","ARKHANTE","ALTERNATIVE","UNCOMMON","5","C","false"
"Astrogant","ARKHANTE","ALTERNATIVE","UNCOMMON","5","B","false"
"Astrogant","ARKHANTE","STANDARD","UNCOMMON","1","","false"
"Astrogant","ARKHANTE","STANDARD","UNCOMMON","1","","true"
"Astrogant","ARKHANTE","ALTERNATIVE","UNCOMMON","5","A","false"
"Astrogant","ARKHANTE","ALTERNATIVE","UNCOMMON","5","C","true"
"Astrogant","ARKHANTE","STANDARD","UNCOMMON","4","","false"
"Astrogant","ARKHANTE","STANDARD","UNCOMMON","3","","false"
"Astrogant","ARKHANTE","ALTERNATIVE","UNCOMMON","5","S","false"
"Astrogant","ARKHANTE","STANDARD","UNCOMMON","2","","false"
"Atros","RIFT","STANDARD","RARE","1","","false"
"Atros","RIFT","ALTERNATIVE","RARE","5","B","false"
"Atros","RIFT","ALTERNATIVE","RARE","5","C","false"
"Auntie Shu","RIFT","STANDARD","SPECIAL_RARE","1","","false"
"Auntie Shu","RIFT","ALTERNATIVE","SPECIAL_RARE","5","B","false"
"Aurelius","ARKHANTE","STANDARD","RARE","5","","false"
"Aurelius","ARKHANTE","STANDARD","RARE","1","","true"
"Aurelius","ARKHANTE","STANDARD","RARE","1","","false"
"Aurelius","ARKHANTE","ALTERNATIVE","RARE","5","A","false"
"Aurelius","ARKHANTE","ALTERNATIVE","RARE","5","C","true"
"Aurelius","ARKHANTE","ALTERNATIVE","RARE","5","C","false"
"Aurelius","ARKHANTE","STANDARD","RARE","2","","false"
"Aurelius","ARKHANTE","STANDARD","RARE","5","","true"
"Aurelius","ARKHANTE","STANDARD","RARE","3","","false"
"Aurelius","ARKHANTE","ALTERNATIVE","RARE","5","B","false"
"Aurelius","ARKHANTE","ALTERNATIVE","RARE","5","B","true"
"Aurelius","ARKHANTE","STANDARD","RARE","4","","false"
"Aurelius","ARKHANTE","ALTERNATIVE","RARE","5","A","true"
"Aurelius","RIFT","STANDARD","MYTHIC","1","","false"
"Aurelius","RIFT","ALTERNATIVE","MYTHIC","5","C","false"
"Azur","RIFT","STANDARD","COMMON","1","","false"
"Azur","RIFT","ALTERNATIVE","COMMON","5","B","false"
"Azur","RIFT","ALTERNATIVE","COMMON","5","C","false"
"Azur","RIFT","ALTERNATIVE","COMMON","5","A","false"
"B380","MANTRIS","STANDARD","RARE","1","","true"
"B380","MANTRIS","ALTERNATIVE","RARE","5","B","false"
"B380","MANTRIS","ALTERNATIVE","RARE","5","C","false"
"B380","MANTRIS","ALTERNATIVE","RARE","5","C","true"
"B380","MANTRIS","ALTERNATIVE","RARE","5","S","false"
"B380","MANTRIS","STANDARD","RARE","1","","false"
"B380","MANTRIS","ALTERNATIVE","RARE","5","A","false"
"B380","MANTRIS","ALTERNATIVE","RARE","5","A","true"
"Bagley","MANTRIS","STANDARD","SPECIAL_RARE","1","","false"
"Bagley","MANTRIS","ALTERNATIVE","SPECIAL_RARE","5","C","false"
"Balor","RIFT","STANDARD","ULTRA_RARE","1","","false"
"Balor","RIFT","ALTERNATIVE","ULTRA_RARE","5","B","false"
"Balor","RIFT","ALTERNATIVE","ULTRA_RARE","5","C","false"
"Baram","ARKHANTE","ALTERNATIVE","ULTRA_RARE","5","A","false"
"Baram","ARKHANTE","ALTERNATIVE","ULTRA_RARE","5","B","false"
"Baram","ARKHANTE","STANDARD","ULTRA_RARE","1","","true"
"Baram","ARKHANTE","ALTERNATIVE","ULTRA_RARE","5","C","false"
"Baram","ARKHANTE","ALTERNATIVE","ULTRA_RARE","5","C","true"
"Baram","ARKHANTE","STANDARD","ULTRA_RARE","1","","false"
"Baram","ARKHANTE","ALTERNATIVE","ULTRA_RARE","5","A","true"
"Baram","ARKHANTE","STANDARD","ULTRA_RARE","5","","false"
"Baram","ARKHANTE","ALTERNATIVE","ULTRA_RARE","5","S","false"
"Baram","ARKHANTE","STANDARD","ULTRA_RARE","2","","false"
"Baram & Salamandre","","","","","C","false"
"Bedbug","RIFT","STANDARD","SPECIAL_RARE","1","","false"
"Bedbug","RIFT","ALTERNATIVE","SPECIAL_RARE","5","C","false"
"Black Amber","ARKHANTE","STANDARD","RARE","1","","true"
"Black Amber","ARKHANTE","STANDARD","RARE","5","","false"
"Black Amber","ARKHANTE","STANDARD","RARE","5","","true"
"Black Amber","ARKHANTE","ALTERNATIVE","RARE","5","B","false"
"Black Amber","ARKHANTE","STANDARD","RARE","1","","false"
"Black Amber","ARKHANTE","ALTERNATIVE","RARE","5","C","false"
"Black Amber","ARKHANTE","ALTERNATIVE","RARE","5","C","true"
"Black Amber","ARKHANTE","ALTERNATIVE","RARE","5","A","true"
"Black Amber","ARKHANTE","ALTERNATIVE","RARE","5","S","false"
"Black Amber","ARKHANTE","ALTERNATIVE","RARE","5","B","true"
"Black Amber & Nox","","","","","C","false"
"Black Amber & Nox","","","","","C","true"
"Blitz Defender-Serie","MANTRIS","STANDARD","UNCOMMON","1","","true"
"Blitz Defender-Serie","MANTRIS","STANDARD","UNCOMMON","1","","false"
"Blitz Defender-Serie","MANTRIS","ALTERNATIVE","UNCOMMON","5","C","true"
"Blitz Defender-Serie","MANTRIS","STANDARD","UNCOMMON","5","","false"
"Blitz Defender-Serie","MANTRIS","ALTERNATIVE","UNCOMMON","5","C","false"
"Blitz Defender-Serie","MANTRIS","STANDARD","UNCOMMON","5","","true"
"Blitz Defender-Serie","MANTRIS","ALTERNATIVE","UNCOMMON","5","B","false"
"Blitz Defender-Serie","MANTRIS","ALTERNATIVE","UNCOMMON","5","B","true"
"Blitz Defender-Serie","MANTRIS","ALTERNATIVE","UNCOMMON","5","A","false"
"Blue Dream","MANTRIS","STANDARD","COMMON","1","","false"
"Blue Dream","MANTRIS","STANDARD","COMMON","1","","true"
"Blue Dream","MANTRIS","ALTERNATIVE","COMMON","5","B","true"
"Blue Dream","MANTRIS","ALTERNATIVE","COMMON","5","C","false"
"Blue Dream","MANTRIS","STANDARD","EXCLUSIVE","2","","false"
"Blue Dream","MANTRIS","ALTERNATIVE","EXCLUSIVE","5","C","false"
"Blue Mint Pass","","","","","","false"
"Blue Mint Pass","N/A","N/A","N/A","N/A","N/A","false"
"Bly","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","S","false"
"Bly","ARKHANTE","STANDARD","SPECIAL_RARE","1","","false"
"Bly","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","B","false"
"Bly","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","B","true"
"Bly","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","C","true"
"Bly","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","A","false"
"Bly","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","C","false"
"Bly","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","A","true"
"Bly","ARKHANTE","STANDARD","SPECIAL_RARE","1","","true"
"Bou","RIFT","STANDARD","SPECIAL_RARE","1","","true"
"Bou","RIFT","STANDARD","SPECIAL_RARE","1","","false"
"Bou","RIFT","ALTERNATIVE","SPECIAL_RARE","5","C","false"
"Bou","RIFT","ALTERNATIVE","SPECIAL_RARE","5","A","false"
"Bou","RIFT","ALTERNATIVE","SPECIAL_RARE","5","B","false"
"Brinhold","ARKHANTE","STANDARD","MYTHIC","1","","false"
"Brinhold","ARKHANTE","ALTERNATIVE","MYTHIC","5","A","true"
"Brinhold","ARKHANTE","ALTERNATIVE","MYTHIC","5","B","false"
"Brinhold","ARKHANTE","STANDARD","MYTHIC","1","","true"
"Brinhold","ARKHANTE","ALTERNATIVE","MYTHIC","5","C","false"
"Brinhold","ARKHANTE","ALTERNATIVE","MYTHIC","5","C","true"
"Brinhold","ARKHANTE","ALTERNATIVE","MYTHIC","5","A","false"
"Brinhold","ARKHANTE","ALTERNATIVE","MYTHIC","5","S","false"
"Brinhold & Amrok","ARKHANTE","COMBO","MYTHIC","5","C","false"
"Brinhold & Amrok","ARKHANTE","COMBO","MYTHIC","5","B","false"
"Brinhold & Amrok","ARKHANTE","COMBO","MYTHIC","5","A","false"
"Brinhold & Amrok","ARKHANTE","COMBO","MYTHIC","5","S","true"
"Brinhold & Amrok","ARKHANTE","COMBO","MYTHIC","5","S","false"
"Brinhold & Amrok","ARKHANTE","COMBO","MYTHIC","5","C","true"
"Brinhold & Amrok","ARKHANTE","COMBO","MYTHIC","5","B","true"
"Brinhold & Amrok","ARKHANTE","COMBO","MYTHIC","5","A","true"
"Calyps","ARKHANTE","STANDARD","MYTHIC","1","","false"
"Calyps","ARKHANTE","ALTERNATIVE","MYTHIC","5","C","false"
"Calyps","ARKHANTE","ALTERNATIVE","MYTHIC","5","B","false"
"Calyps","ARKHANTE","STANDARD","MYTHIC","1","","true"
"Calyps","ARKHANTE","ALTERNATIVE","MYTHIC","5","A","false"
"Calyps","ARKHANTE","ALTERNATIVE","MYTHIC","5","S","false"
"Calyps","ARKHANTE","ALTERNATIVE","MYTHIC","5","B","true"
"Calyps","ARKHANTE","ALTERNATIVE","MYTHIC","5","C","true"
"Calyps","ARKHANTE","STANDARD","MYTHIC","5","","false"
"Calyps & Leviathan","","","","","C","false"
"Calyps & Leviathan","","","","","C","true"
"Carya","RIFT","STANDARD","COMMON","1","","false"
"Carya","RIFT","ALTERNATIVE","COMMON","5","C","false"
"César","MANTRIS","STANDARD","RARE","1","","true"
"César","MANTRIS","ALTERNATIVE","RARE","5","C","false"
"César","MANTRIS","STANDARD","RARE","1","","false"
"César","MANTRIS","ALTERNATIVE","RARE","5","A","false"
"César","MANTRIS","STANDARD","RARE","5","","false"
"César","MANTRIS","ALTERNATIVE","RARE","5","B","false"
"César","MANTRIS","ALTERNATIVE","RARE","5","C","true"
"César","MANTRIS","ALTERNATIVE","RARE","5","B","true"
"César","MANTRIS","ALTERNATIVE","RARE","5","A","true"
"Chaka","RIFT","STANDARD","SPECIAL_RARE","1","","false"
"Chaka","RIFT","STANDARD","SPECIAL_RARE","1","","true"
"Chaka","MANTRIS","ALTERNATIVE","SPECIAL_RARE","5","B","false"
"Chaka","MANTRIS","ALTERNATIVE","SPECIAL_RARE","5","C","true"
"Chaka","MANTRIS","ALTERNATIVE","SPECIAL_RARE","5","C","false"
"Chaka","MANTRIS","STANDARD","SPECIAL_RARE","5","","true"
"Chaka","MANTRIS","STANDARD","SPECIAL_RARE","5","","false"
"Chaka","MANTRIS","ALTERNATIVE","SPECIAL_RARE","5","B","true"
"Chaka","MANTRIS","ALTERNATIVE","SPECIAL_RARE","5","A","false"
"Chaka","RIFT","ALTERNATIVE","SPECIAL_RARE","5","B","false"
"Chaka","MANTRIS","STANDARD","SPECIAL_RARE","1","","false"
"Chaka","RIFT","ALTERNATIVE","SPECIAL_RARE","5","C","false"
"Chaka","RIFT","ALTERNATIVE","SPECIAL_RARE","5","A","false"
"Chang","MANTRIS","STANDARD","COMMON","1","","true"
"Chang","MANTRIS","STANDARD","COMMON","1","","false"
"Chang","MANTRIS","STANDARD","COMMON","5","","true"
"Chang","MANTRIS","STANDARD","COMMON","5","","false"
"Chang","MANTRIS","ALTERNATIVE","COMMON","5","C","false"
"Clara Lille","ARKHANTE","STANDARD","SPECIAL_RARE","1","","true"
"Clara Lille","ARKHANTE","STANDARD","SPECIAL_RARE","1","","false"
"Clara Lille","ARKHANTE","ALTERNATIVE","SPECIAL_RARE","5","C","false"
"Clara Lille & Dermot "Lucky" Quinn","ARKHANTE","COMBO","SPECIAL_RARE","5","B","false"
"Class I Utility Drone","MANTRIS","STANDARD","SPECIAL_RARE","1","","false"
"Class I Utility Drone","MANTRIS","STANDARD","SPECIAL_RARE","1","","true"
"Class I Utility Drone","MANTRIS","ALTERNATIVE","SPECIAL_RARE","5","S","false"
"Class I Utility Drone","MANTRIS","ALTERNATIVE","SPECIAL_RARE","5","A","false"
"Class I Utility Drone","MANTRIS","ALTERNATIVE","SPECIAL_RARE","5","C","false"
"Class I Utility Drone","MANTRIS","STANDARD","SPECIAL_RARE","5","","false"
"Class I Utility Drone","MANTRIS","ALTERNATIVE","SPECIAL_RARE","5","S","true"
"Class I Utility Drone","MANTRIS","ALTERNATIVE","SPECIAL_RARE","5","B","false"
"Class I Utility Drone","MANTRIS","ALTERNATIVE","SPECIAL_RARE","5","B","true"
"Class I Utility Drone","MANTRIS","ALTERNATIVE","SPECIAL_RARE","5","A","true"
"Class III Utility Robot","MANTRIS","STANDARD","COMMON","1","","true"
"Class III Utility Robot","MANTRIS","STANDARD","COMMON","1","","false"
"Class III Utility Robot","MANTRIS","ALTERNATIVE","COMMON","5","C","false"
"Class III Utility Robot","MANTRIS","ALTERNATIVE","COMMON","5","B","true"
"Class III Utility Robot","MANTRIS","STANDARD","COMMON","5","","false"
"Class III Utility Robot","MANTRIS","STANDARD","COMMON","5","","true"
"Class III Utility Robot","MANTRIS","ALTERNATIVE","COMMON","5","A","false"
"Class III Utility Robot","MANTRIS","STANDARD","EXCLUSIVE","5","","false"
"Class III Utility Robot","MANTRIS","STANDARD","EXCLUSIVE","1","","false"
"Class III Utility Robot","MANTRIS","ALTERNATIVE","COMMON","5","B","false"
"Class III Utility Robot","MANTRIS","ALTERNATIVE","EXCLUSIVE","5","C","false"
"Common Arise Coin","N/A","N/A","COMMON","N/A","N/A","false"
"Connie Robinson","RIFT","STANDARD","SPECIAL_RARE","1","","false"
"Connie Robinson","RIFT","ALTERNATIVE","SPECIAL_RARE","5","C","false"
"Criarunes","MANTRIS","STANDARD","SPECIAL_RARE","1","","false"
"Criarunes","MANTRIS","ALTERNATIVE","SPECIAL_RARE","5","S","false"
"Criarunes","MANTRIS","STANDARD","SPECIAL_RARE","1","","true"
"Criarunes","MANTRIS","ALTERNATIVE","SPECIAL_RARE","5","C","true"
"Criarunes","MANTRIS","STANDARD","SPECIAL_RARE","5","","false"
